NDB_0,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,is_lactose,is_seafood,is_gluten,is_vegetable,contains_nuts,is_sweetener,is_vegetarian,is_grain,Descrip
2037,saffron,310,11.43,1.586,5.85,65.37,3.9,0,111,11.1,264,252,1724,148,1.09,0.328,28.408,5.6,80.8,0.115,0.267,1.46,1.01,93,0,27,0,0,0,0,0,0,0,0,1,0,saffron
16056,chickpeas (garbanzo bns bengal gm) mature seeds raw,378,20.47,0.603,6.04,62.95,12.2,10.7,57,4.31,79,252,718,24,2.76,0.656,21.306,0,4,0.477,0.212,1.541,0.535,557,0,3,0.82,0,0,0,0,0,0,0,1,1,chickpeas (garbanzo bns bengal gm) mature seeds raw
2044,basil fresh,23,3.15,0.041,0.64,2.65,1.6,0.3,177,3.17,64,56,295,4,0.81,0.385,1.148,0.3,18,0.034,0.076,0.902,0.155,68,0,264,0.8,0,0,0,0,0,0,0,1,0,basil fresh
11413,potato flour,357,6.9,0.09,0.34,83.1,5.9,3.52,65,1.38,65,168,1001,55,0.54,0.197,0.313,1.1,3.8,0.228,0.051,3.507,0.769,25,0,0,0.25,0,0,0,0,0,0,0,1,0,potato flour
11426,pumpkin pie mix canned,104,1.09,0.065,0.13,26.39,8.3,0,37,1.06,16,45,138,208,0.27,0.068,0.401,1.1,3.5,0.016,0.118,0.374,0.159,35,0,415,0,0,0,0,0,0,0,0,1,0,pumpkin pie mix canned
11427,purslane raw,20,2.03,0,0.36,3.39,0,0,65,1.99,68,44,494,45,0.17,0.113,0.303,0.9,21,0.047,0.112,0.48,0.073,12,0,0,0,0,0,0,0,0,0,0,1,0,purslane raw
G031,pepper  black ,217.49,10.12,0.654,2.74,36.22,33.16,0.32,405,11.91,196,144,1487,24.08,1.24,1.76,7.5,12.13,0,0.06,0.09,0.85,0.27,21.89,0,65.5,1.27,0.02568,0,0,0,0,0,0,1,0,pepper  black 
G032,poppy seeds,422.552,20.31,2.074,30.38,12.37,26.68,1.85,1372,10.13,393,804,646,25.35,6.38,2.05,7.14,7.68,0,0.87,0.1,0.77,0.42,78.73,0,0.66,1.67,0.03392,0,0,0,0,1,0,1,0,poppy seeds
H001,almond,609.211,18.41,4.358,58.49,3.04,13.06,2.23,228,4.59,318,446,699,1.5,3.5,1.08,2.54,3.61,0.74,0.15,0.26,3.71,0.09,36.46,0,0,25.86,0,0,0,0,0,1,0,1,0,almond
10109,pork frsh var meatsby-products leaf fat raw,857,1.76,45.23,94.16,0,0,0,1,0.09,1,19,31,5,0.18,0.009,0.001,8,0,0.106,0.065,1.249,0.03,0,0.23,0,0,0,0,0,0,0,0,0,0,0,pork frsh var meatsby-products leaf fat raw
7051,olive loaf pork,235,11.8,5.85,16.5,9.2,0,0,109,0.54,19,127,297,964,1.38,0.05,0.035,16.4,0,0.295,0.26,1.835,0.23,2,1.26,60,0.25,1.1,0,0,0,0,0,0,0,0,olive loaf pork
7059,polish sausage pork,326,14.1,10.33,28.72,1.63,0,0,12,1.44,14,136,237,876,1.93,0.09,0.049,17.7,1,0.502,0.148,3.443,0.19,2,0.98,0,0,0,0,0,0,0,0,0,0,0,polish sausage pork
